City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Alice Springs,AU,2022-07-05 00:12:38,-23.7,133.8833,40.55,65,0,5.75
1,Thompson,CA,2022-07-05 00:08:01,55.7435,-97.8558,69.17,25,89,6.71
2,Yinchuan,CN,2022-07-05 00:10:39,38.4681,106.2731,77.36,41,69,8.03
3,Praia,CV,2022-07-05 00:12:39,14.9215,-23.5087,74.48,79,52,10.25
4,Puerto Ayora,EC,2022-07-05 00:12:39,-0.7393,-90.3518,72.55,89,67,5.01
5,Balagansk,RU,2022-07-05 00:12:39,54.0103,103.0544,62.19,72,93,6.6
6,Ponta Do Sol,PT,2022-07-05 00:12:40,32.6667,-17.1,70.0,71,38,5.39
7,Strezhevoy,RU,2022-07-05 00:12:40,60.7333,77.5889,52.09,73,100,10.11
8,Aklavik,CA,2022-07-05 00:12:41,68.2191,-135.0107,90.28,25,6,10.36
9,Saint-Pierre,RE,2022-07-05 00:12:41,-21.3393,55.4781,65.91,68,0,8.05
10,Mataura,NZ,2022-07-05 00:12:41,-46.1927,168.8643,53.47,64,37,10.16
11,Butaritari,KI,2022-07-05 00:12:42,3.0707,172.7902,83.17,74,42,19.89
12,Punta Arenas,CL,2022-07-05 00:09:10,-53.15,-70.9167,30.31,93,0,10.36
13,Castro,BR,2022-07-05 00:12:42,-24.7911,-50.0119,56.57,75,30,3.74
14,Sur,OM,2022-07-05 00:12:43,22.5667,59.5289,85.78,71,100,2.13
15,Dicabisagan,PH,2022-07-05 00:12:43,17.0818,122.4157,82.74,73,100,1.63
16,Qaanaaq,GL,2022-07-05 00:12:44,77.484,-69.3632,43.92,68,4,0.16
17,Jequie,BR,2022-07-05 00:12:26,-13.8575,-40.0836,64.22,99,30,2.28
18,Atuona,PF,2022-07-05 00:12:44,-9.8,-139.0333,77.83,72,38,23.78
19,Saskylakh,RU,2022-07-05 00:12:45,71.9167,114.0833,45.9,66,96,7.43
20,Saint George,US,2022-07-05 00:11:01,37.1041,-113.5841,100.63,9,0,18.41
21,Kindu,CD,2022-07-05 00:12:45,-2.95,25.95,70.3,49,92,2.35
22,Bambous Virieux,MU,2022-07-05 00:12:46,-20.3428,57.7575,67.21,75,94,16.15
23,Taoudenni,ML,2022-07-05 00:12:46,22.6783,-3.9836,100.06,9,36,6.53
24,Mizdah,LY,2022-07-05 00:09:22,31.4451,12.9801,74.25,59,0,4.25
25,Cabo San Lucas,MX,2022-07-05 00:11:46,22.8909,-109.9124,95.61,43,0,11.5
26,Wewak,PG,2022-07-05 00:12:47,-3.5534,143.6268,83.32,71,99,0.58
27,Port Augusta,AU,2022-07-05 00:12:47,-32.5,137.7667,50.38,66,0,4.47
28,Ushuaia,AR,2022-07-05 00:12:48,-54.8,-68.3,33.46,80,20,3.44
29,Bredasdorp,ZA,2022-07-05 00:12:48,-34.5322,20.0403,46.96,85,0,1.5
30,Carmen,MX,2022-07-05 00:12:48,18.6333,-91.8333,84.24,79,75,11.5
31,Racovita,RO,2022-07-05 00:12:49,45.6983,21.6358,72.81,56,0,5.28
32,Artyom,AZ,2022-07-05 00:12:49,40.4723,50.333,66.34,62,0,13.94
33,Avarua,CK,2022-07-05 00:12:49,-21.2078,-159.775,75.25,88,100,6.91
34,Georgetown,MY,2022-07-05 00:09:23,5.4112,100.3354,78.89,86,20,4.61
