City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chara,RU,56.9064,118.2631,52.56,97,100,1.7,moderate rain
1,Kovrov,RU,56.3572,41.3192,59.11,97,100,3.58,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,73.67,80,16,12.06,moderate rain
3,Busselton,AU,-33.65,115.3333,56.57,63,87,14.61,overcast clouds
4,Albany,US,42.6001,-73.9662,72.25,62,4,4.5,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,49.89,83,0,5.1,clear sky
6,Ushuaia,AR,-54.8,-68.3,28.06,80,40,18.41,scattered clouds
7,Avera,US,33.194,-82.5271,78.85,74,89,7.7,overcast clouds
8,Pueblo Nuevo,MX,23.3833,-105.3833,67.23,84,75,4.68,broken clouds
9,Panjab,AF,34.388,67.0233,56.62,34,0,4.63,clear sky
10,Tarrafal,CV,15.2833,-23.7667,75.99,86,31,11.74,scattered clouds
11,Talcahuano,CL,-36.7167,-73.1167,49.68,81,100,5.75,overcast clouds
12,Port Alfred,ZA,-33.5906,26.891,63.18,70,3,10.0,clear sky
13,Cabo San Lucas,MX,22.8909,-109.9124,96.62,64,85,10.87,overcast clouds
14,Kruisfontein,ZA,-34.0033,24.7314,58.89,85,50,7.67,scattered clouds
15,Paamiut,GL,61.994,-49.6678,39.99,95,29,15.5,scattered clouds
16,Hermanus,ZA,-34.4187,19.2345,47.8,82,26,7.94,scattered clouds
17,Bengkulu,ID,-3.8004,102.2655,77.23,80,100,3.58,overcast clouds
18,Butaritari,KI,3.0707,172.7902,81.9,78,37,12.21,scattered clouds
19,Avarua,CK,-21.2078,-159.775,77.05,53,63,10.36,broken clouds
20,Castro,BR,-24.7911,-50.0119,54.95,83,19,3.83,few clouds
21,Barrow,US,71.2906,-156.7887,57.22,67,0,11.5,clear sky
22,Upernavik,GL,72.7868,-56.1549,39.6,86,15,5.88,few clouds
23,Kodiak,US,57.79,-152.4072,56.71,82,100,10.36,overcast clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,55.09,94,100,10.0,mist
25,Port Hardy,CA,50.6996,-127.4199,59.18,88,100,3.44,overcast clouds
26,Vaini,TO,-21.2,-175.2,77.16,73,20,11.5,few clouds
27,Qaanaaq,GL,77.484,-69.3632,42.71,79,9,2.35,clear sky
28,Sakakah,SA,29.9697,40.2064,80.17,20,0,8.79,clear sky
29,Lumby,CA,50.2498,-118.969,81.36,48,91,1.14,overcast clouds
30,Russell,US,32.3502,-85.1999,78.4,94,0,0.0,clear sky
31,Jamestown,US,42.097,-79.2353,71.19,55,0,9.22,clear sky
32,Mitsamiouli,KM,-11.3847,43.2844,75.88,67,0,12.28,clear sky
33,Saint George,US,37.1041,-113.5841,106.63,10,0,17.27,clear sky
34,Kunya,NG,12.2233,8.5325,75.99,80,100,18.23,light rain
35,Moose Factory,CA,51.2585,-80.6094,69.8,60,0,5.75,clear sky
36,Bismarck,US,46.8083,-100.7837,88.65,65,0,8.05,clear sky
37,Port Elizabeth,ZA,-33.918,25.5701,61.32,79,0,24.16,clear sky
38,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,6.91,mist
39,Bantou,CN,26.2151,117.4893,89.51,64,44,2.08,scattered clouds
40,Kemi,FI,65.8596,24.8228,56.97,88,100,5.75,overcast clouds
41,Mataura,NZ,-46.1927,168.8643,43.48,66,8,1.48,clear sky
42,New Norfolk,AU,-42.7826,147.0587,50.92,75,5,2.93,clear sky
43,Nikolskoye,RU,59.7035,30.7861,59.81,97,80,2.86,broken clouds
44,Georgetown,MY,5.4112,100.3354,83.89,85,20,3.44,few clouds
45,Palmer,US,42.1584,-72.3287,76.6,59,20,8.05,few clouds
46,East London,ZA,-33.0153,27.9116,72.84,34,0,11.97,clear sky
47,Port Blair,IN,11.6667,92.75,77.04,94,100,21.63,thunderstorm with light rain
48,Kavieng,PG,-2.5744,150.7967,84.52,64,50,12.1,scattered clouds
49,Carahue,CL,-38.7,-73.1667,43.86,97,100,2.86,light rain
50,Tiksi,RU,71.6872,128.8694,56.28,51,100,8.19,overcast clouds
51,Arraial Do Cabo,BR,-22.9661,-42.0278,70.88,86,0,19.66,clear sky
52,La Ronge,CA,55.1001,-105.2842,79.05,31,40,10.36,scattered clouds
53,Neiafu,TO,-18.65,-173.9833,81.28,74,75,13.8,broken clouds
54,Severo-Kurilsk,RU,50.6789,156.125,59.94,81,100,12.39,overcast clouds
55,Neath,GB,51.6632,-3.8044,63.23,76,0,1.99,clear sky
56,Vila,PT,42.0304,-8.1588,62.71,70,5,3.76,clear sky
57,Ampanihy,MG,-24.7,44.75,58.03,69,0,6.51,clear sky
58,Quatre Cocos,MU,-20.2078,57.7625,66.31,66,33,20.2,scattered clouds
59,Patharia,IN,23.9,79.2,84.61,70,100,5.7,overcast clouds
60,Passagem Franca,BR,-6.1797,-43.7836,74.16,45,10,4.83,clear sky
61,Chuy,UY,-33.6971,-53.4616,61.25,93,75,15.93,broken clouds
62,Airai,TL,-8.9266,125.4092,64.35,75,70,4.16,broken clouds
63,Punta Arenas,CL,-53.15,-70.9167,28.51,69,20,11.5,few clouds
64,Santa Rosa,PH,14.3122,121.1114,87.12,77,61,5.61,broken clouds
65,Honiara,SB,-9.4333,159.95,87.37,60,13,6.69,few clouds
66,Norman Wells,CA,65.282,-126.8329,82.44,39,75,14.97,smoke
67,Manokwari,ID,-0.8667,134.0833,81.79,71,100,2.89,overcast clouds
68,Natal,BR,-5.795,-35.2094,75.42,100,75,9.22,broken clouds
69,Mega,ET,4.05,38.3,54.9,87,92,15.73,overcast clouds
70,Mandan,US,46.8267,-100.8896,88.38,66,0,8.05,clear sky
